verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Hirundo rustica,2.0,3.890721,-76.344284,2021-11-28,28,11,2021,Valle del Cauca,48
Cardellina canadensis,3.0,5.064686,-75.59219,2021-11-13,13,11,2021,Caldas,45
Hirundo rustica,5.0,5.490832,-72.93526,2021-09-01,1,9,2021,Boyacá,35
Cardellina canadensis,1.0,5.090581,-75.531746,2021-11-14,14,11,2021,Caldas,46
Hirundo rustica,3.0,4.722935,-74.14027,2021-09-04,4,9,2021,Distrito Capital de Bogotá,35
Cardellina canadensis,1.0,4.290494,-73.588135,2021-12-07,7,12,2021,Meta,49
Hirundo rustica,2.0,4.841441,-74.84435,2021-09-28,28,9,2021,Tolima,39
Cardellina canadensis,2.0,4.313538,-75.78253,2021-12-07,7,12,2021,Quindío,49
Hirundo rustica,1.0,4.788062,-74.28107,2021-10-28,28,10,2021,Cundinamarca,43
Cardellina canadensis,1.0,1.878253,-76.20462,2021-12-29,29,12,2021,Huila,52
Vireo flavoviridis,2.0,5.064686,-75.59219,2021-11-14,14,11,2021,Caldas,46
